Código Soporte;Código Elemento;Empresa;Nombre Comercial Tecnología;Dirección;Localidad;Comuna;Región;Tipo Documento Autorizatorio;Nro. Documento;Fecha Documento;Tipo Soporte;Altura;Frecuencia;Banda;Ancho Banda;Tecnología;Tipo Acceso;Latitud;Longitud;x;y
"14.961";"7837";ENTEL PCS;2G;CERRO SOMBRERO, SECTOR RECINTO ENAP;;Primavera;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;206;30/06/2005;Torre Ventada;"42";"1900";UHF;30000;GSM(2G);TDMA;52° 46´ 29´´;69° 17´ 27´´;"-69,291";"-52,775"
"16.505";"11.817";MOVISTAR MOVIL;2G;Colón N° 680;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;89;22/02/2006;Torre Ventada;"36";"1900";UHF;10000;GSM(2G);TDMA;53° 9´ 34´´;70° 54´ 23´´;"-70,906";"-53,159"
"14.936";"47.770";ENTEL PCS;2G;SECTOR LEÑADURA KM. 6, RUTA A;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;885;11/11/2009;Torre Ventada;"60";"1900";UHF;30000;GSM(2G);TDMA;53° 13´ 5´´;70° 56´ 47´´;"-70,946";"-53,218"
"11.411";"450.973";Claro Serv. Empresariales;4G;Dr. Oscar Munizaga S/N;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;3062;12/08/2013;Monoposte;"36";"2600";UHF;40000;LTE(4G);FDD;53° 8´ 28.489919999999998´´;70° 53´ 52.68984´´;"-70,898";"-53,141"
"11.431";"450.975";Claro Serv. Empresariales;4G;Gaspar Marín;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;3062;12/08/2013;Torre Auto Soportada;"36";"2600";UHF;40000;LTE(4G);FDD;53° 9´ 40.60008´´;70° 56´ 38.10012´´;"-70,944";"-53,161"
"14.966";"456.639";WILL;4G;Cerro Dorotea;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;177;09/11/2012;Torre Ventada;"30";"2600";UHF;40000;LTE(4G);FDD;51° 40´ 49´´;72° 26´ 16´´;"-72,438";"-51,68"
"14.925";"456.642";WILL;4G;José Menéndez Nº 131;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;177;09/11/2012;Torre Auto Soportada;"36";"2600";UHF;40000;LTE(4G);FDD;53° 9´ 28´´;70° 54´ 59´´;"-70,916";"-53,158"
"17.832";"530.881";MOVISTAR MOVIL;4G;Vía Tres;;CABO DE HORNOS;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;71;06/05/2015;Torre Ventada;"24";"700";UHF;20000;LTE(4G);FDD;54° 56´ 17´´;67° 36´ 33´´;"-67,609";"-54,938"
"11.421";"570.410";CLARO CHILE SPA.;3G;Ruta Puerto Natales - Punta Arenas Km. 7,2, Sector Mirador Dorotea;;Natales;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;2449;13/12/2017;Torre Ventada;"24";"1900";UHF;30000;UMTS(3G);WCDMA;51° 40´ 47.600004´´;72° 26´ 15.3´´;"-72,438";"-51,68"
"24.743";"599.446";CLARO CHILE SPA.;;Armando Sanhueza N°114;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1490;02/08/2021;Torre Auto Soportada;"30";"2600";UHF;40000;LTE(4G);FDD;53° 9´ 8.2´´;70° 54´ 10.8´´;"-70,903";"-53,152"
